DayofMonth,FltNum,PlaneID,Destination,TaxiOut,SchedTime,ActTime,Distance
1,833,619DL,ABQ,26,204,214,1250
1,1125,660DL,ABQ,18,211,204,1250
1,1589,678DL,ABQ,23,206,212,1250
2,833,659DL,ABQ,18,204,194,1250
2,1125,656DL,ABQ,23,211,210,1250
2,1589,665D,ABQ,19,206,212,1250
3,833,686DA,ABQ,23,204,204,1250
3,1125,692DL,ABQ,27,211,216,1250
3,1589,635DL,ABQ,26,206,210,1250
4,833,688DL,ABQ,21,204,206,1250
4,1125,660DL,ABQ,18,211,221,1250
4,1589,631DL,ABQ,28,206,209,1250
5,833,624DL,ABQ,22,204,202,1250
5,1125,608DA,ABQ,26,211,216,1250
5,1589,659DL,ABQ,29,206,208,1250
6,833,677DL,ABQ,13,204,178,1250
6,1125,679DA,ABQ,23,211,194,1250
6,1589,666D,ABQ,16,206,191,1250
7,833,616DL,ABQ,19,204,202,1250
7,1125,665D,ABQ,21,211,204,1250
7,1589,602DL,ABQ,27,206,199,1250
8,833,606DL,ABQ,26,204,204,1250
8,1125,672DL,ABQ,19,211,189,1250
8,1589,689DL,ABQ,18,206,196,1250
9,833,680DA,ABQ,13,204,187,1250
9,1125,675DL,ABQ,24,211,203,1250
9,1589,611DL,ABQ,26,206,199,1250
10,833,671D,ABQ,21,204,189,1250
10,1125,617DL,ABQ,27,211,191,1250
10,1589,688DL,ABQ,17,206,185,1250
11,833,667D,ABQ,13,204,182,1250
11,1125,626DL,ABQ,32,211,206,1250
11,1589,614DL,ABQ,28,206,204,1250
12,833,673DL,ABQ,17,204,198,1250
12,1125,676DL,ABQ,34,211,218,1250
12,1589,690DL,ABQ,15,206,0,1250
13,833,630DL,ABQ,26,204,212,1250
13,1125,652DL,ABQ,34,211,215,1250
13,1589,604DL,ABQ,21,206,208,1250
14,833,606DL,ABQ,22,204,201,1250
14,1125,617DL,ABQ,40,211,218,1250
14,1589,657DL,ABQ,34,206,211,1250
15,833,626DL,ABQ,32,204,217,1250
15,1125,641DL,ABQ,24,211,206,1250
15,1589,688DL,ABQ,19,206,206,1250
16,833,664D,ABQ,18,204,200,1250
16,1125,630DL,ABQ,25,211,210,1250
16,1589,634DL,ABQ,19,206,199,1250
17,833,658DL,ABQ,20,204,220,1250
17,1125,657DL,ABQ,32,211,220,1250
17,1589,673DL,ABQ,24,206,213,1250
18,833,687DL,ABQ,18,204,200,1250
18,1125,681DA,ABQ,44,211,221,1250
18,1589,692DL,ABQ,33,206,209,1250
19,833,686DA,ABQ,27,204,206,1250
19,1125,677DL,ABQ,74,211,273,1250
19,1589,653DL,ABQ,20,206,206,1250
20,833,654DL,ABQ,22,204,198,1250
20,1125,659DL,ABQ,31,211,214,1250
20,1589,667D,ABQ,23,206,206,1250
21,833,688DL,ABQ,17,204,206,1250
21,1125,625DL,ABQ,24,211,210,1250
21,1589,635DL,ABQ,14,206,198,1250
22,833,608DA,ABQ,35,204,229,1250
22,1125,622DL,ABQ,32,211,218,1250
22,1589,669D,ABQ,23,206,210,1250
23,833,692DL,ABQ,9,204,202,1250
23,1125,633DL,ABQ,16,211,208,1250
23,1589,628DL,ABQ,13,206,205,1250
24,833,608DA,ABQ,16,204,198,1250
24,1125,605DL,ABQ,18,211,196,1250
24,1589,636DL,ABQ,47,206,233,1250
25,833,665D,ABQ,20,204,190,1250
25,1125,616DL,ABQ,28,211,205,1250
25,1589,680DA,ABQ,27,206,211,1250
26,833,603DL,ABQ,15,204,207,1250
26,1125,609DL,ABQ,30,211,211,1250
26,1589,612DL,ABQ,26,206,201,1250
27,833,615DL,ABQ,18,204,201,1250
27,1125,619DL,ABQ,32,211,210,1250
27,1589,610DL,ABQ,24,206,205,1250
28,833,688DL,ABQ,21,204,206,1250
28,1125,673DL,ABQ,52,211,232,1250
28,1589,683DA,ABQ,13,206,199,1250
29,833,637DL,ABQ,13,204,197,1250
29,1125,661D,ABQ,38,211,228,1250
